SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
9692,Murre (NS),Chordata,Aves,Ciconiiformes,Alcidae,,Uria sp.,
9693,"Murre, Common",Chordata,Aves,Ciconiiformes,Alcidae,,Uria aalge,
9694,"Murre, Thick-Billed",Chordata,Aves,Ciconiiformes,Alcidae,,Uria lomvia,
9695,Dovekie,Chordata,Aves,Ciconiiformes,Alcidae,,Alle alle,
9696,"Guillemot, Black",Chordata,Aves,Ciconiiformes,Alcidae,,Cepphus grylle,
9697,"Puffin, Common (Atlantic)",Chordata,Aves,Ciconiiformes,Alcidae,,Fratercula arctica,
9701,Leatherback Sea Turtle,Chordata,Reptilia,Testudines,Dermochelyidae,,Dermochelys coriacea,
9702,Loggerhead Sea Turtle,Chordata,Reptilia,Testudines,Cheloniidae,,Caretta caretta,
9703,Green Sea Turtle,Chordata,Reptilia,Testudines,Cheloniidae,,Chelonia mydas,
9704,Ridley Sea Turtle,Chordata,Reptilia,Testudines,Cheloniidae,,Lepidochelys maritimus,
9979,Mud,,,,,,,
9980,Unidentified Material,,,,,,,
9981,Sand,,,,,,,
9982,Stone,,,,,,,
9983,Shells,,,,,,,
9987,Plant Material,,,,,,,
